tweet_id,favorite_count,retweet_count
761599872357261312,4388,1276
761371037149827077,0,19496
761334018830917632,5539,1574
761292947749015552,4745,1192
761227390836215808,5653,1691
761004547850530816,12028,3769
760893934457552897,4059,1056
760656994973933572,7023,2094
760641137271070720,5264,1405
760539183865880579,8052,3941
760521673607086080,4485,1517
760290219849637889,28484,12468
760252756032651264,4186,938
760190180481531904,6059,1963
760153949710192640,0,34
759943073749200896,6306,2269
759923798737051648,15604,6156
759846353224826880,7143,2149
759793422261743616,6326,2062
759566828574212096,0,22914
759557299618865152,4998,1272
759447681597108224,9007,2658
759446261539934208,1776,526
759197388317847553,6437,2114
759159934323924993,0,1262
759099523532779520,15444,4526
759047813560868866,6919,2189
758854675097526272,3770,968
758828659922702336,11871,4158
758740312047005698,6077,1740
758474966123810816,4061,1077
758467244762497024,5097,2419
758405701903519748,5518,2090
758355060040593408,3652,1178
758099635764359168,20376,10920
758041019896193024,2876,406
757741869644341248,7306,3531
757729163776290825,0,8783
757725642876129280,4821,1319
757611664640446465,4841,1213
757597904299253760,0,315
757596066325864448,4616,1145
757400162377592832,16081,7406
757393109802180609,6198,1894
757354760399941633,4789,1544
756998049151549440,6649,2153
756939218950160384,7064,2178
756651752796094464,5378,1424
756526248105566208,11035,3916
756303284449767430,4196,1176
756288534030475264,45368,18936
756275833623502848,6834,1650
755955933503782912,7785,3131
755206590534418437,17456,5829
755110668769038337,22520,12001
754874841593970688,0,8681
754856583969079297,7292,2738
754747087846248448,2735,568
754482103782404096,5631,2111
754449512966619136,3971,797
754120377874386944,8304,2536
753655901052166144,6193,2356
753420520834629632,8393,3862
753398408988139520,6134,2078
753375668877008896,8086,2523
753298634498793472,0,6246
753294487569522689,3605,1127
753039830821511168,39323,22672
753026973505581056,4125,1055
752932432744185856,13376,7387
752917284578922496,7304,1704
752701944171524096,0,3121
752682090207055872,6348,1740
752660715232722944,4671,1709
752568224206688256,5859,2470
752519690950500352,7816,3724
752334515931054080,4042,1190
752309394570878976,0,18054
752173152931807232,6301,1998
751950017322246144,3260,1007
751937170840121344,5526,1456
751830394383790080,6142,2121
751793661361422336,6210,3151
751598357617971201,8363,3291
751583847268179968,4665,1205
751538714308972544,5335,1373
751456908746354688,3389,1079
751251247299190784,13227,6342
751205363882532864,6682,1977
751132876104687617,5382,1411
750868782890057730,5051,1500
750719632563142656,13976,5455
750506206503038976,4699,1244
750429297815552001,13939,4652
750383411068534784,4815,1227
750381685133418496,732,32
750147208377409536,3278,1044
750132105863102464,3848,1374
750117059602808832,4585,1406
750101899009982464,3219,910
750086836815486976,2302,591
750071704093859840,8316,3611
750056684286914561,3319,969
750041628174217216,3361,670
750026558547456000,2871,853
750011400160841729,3434,984
749996283729883136,3211,875
749981277374128128,5407,2644
749774190421639168,4916,1418
749417653287129088,6444,1802
749403093750648834,2779,589
749395845976588288,9102,3742
749317047558017024,5799,2392
749075273010798592,6095,2233
749064354620928000,5063,1629
749036806121881602,3279,843
748977405889503236,11323,3666
748932637671223296,6181,2440
748705597323898880,2924,1022
748699167502000129,5000,1724
748692773788876800,4479,1436
748575535303884801,6405,2151
748568946752774144,2303,726
748346686624440324,5521,1337
748337862848962560,8134,4443
748324050481647620,3907,826
748307329658011649,3873,771
748220828303695873,14919,8392
747963614829678593,6106,2312
747933425676525569,6992,2752
747885874273214464,3117,1062
747844099428986880,2961,809
747816857231626240,5119,1253
747651430853525504,1457,169
747648653817413632,13604,6293
747600769478692864,2449,591
747594051852075008,3899,1132
747512671126323200,5859,1708
747461612269887489,4079,1112
747439450712596480,5724,2073
747242308580548608,0,3101
747219827526344708,5572,1703
747204161125646336,3570,992
747103485104099331,10098,4297
746906459439529985,3044,318
746872823977771008,6324,2309
746818907684614144,5584,1855
746790600704425984,5146,1711
746757706116112384,10089,4195
746726898085036033,6364,1925
746542875601690625,5313,2006
746521445350707200,0,1057
746507379341139972,4880,1162
746369468511756288,6494,1767
746131877086527488,7281,2366
746056683365994496,3742,875
745789745784041472,4247,1147
745712589599014916,7365,2491
745433870967832576,7481,2726
745422732645535745,9032,2610
745314880350101504,7552,2980
745074613265149952,8261,3790
745057283344719872,7620,2444
744995568523612160,3133,671
744971049620602880,8304,2891
744709971296780288,5889,1674
744334592493166593,7130,2296
744234799360020481,164757,83949
744223424764059648,1786,401
743980027717509120,4375,1168
743895849529389061,3833,1027
743835915802583040,0,2240
743609206067040256,4717,1478
743595368194129920,19444,7046
743545585370791937,3713,1002
743510151680958465,8317,3962
743253157753532416,4458,1307
743222593470234624,6525,2042
743210557239623680,4035,1463
742534281772302336,7410,3810
742528092657332225,4666,2137
742465774154047488,7640,4168
742423170473463808,10342,4073
742385895052087300,7153,2135
742161199639494656,4567,1472
742150209887731712,5402,1671
741793263812808706,4793,1616
741743634094141440,8602,2966
741438259667034112,3864,896
741303864243200000,9226,3472
741099773336379392,10570,5944
741067306818797568,9935,3312
740995100998766593,6726,2966
740711788199743490,3585,1000
740699697422163968,2981,839
740676976021798912,19084,7285
740373189193256964,36545,14247
740365076218183684,2609,469
740359016048689152,3467,916
